team_id,team_name,short_name,team_code,country_id,country,country_code,founded_year,stadium,club_colors,website,address,coach_id,coach_name,coach_nationality,coach_birth_date,crest_url
67,Newcastle United FC,Newcastle,NEW,2072,England,ENG,1881,St. James' Park,Black / White,http://www.nufc.co.uk,Sports Direct Arena Newcastle upon Tyne NE1 4ST,,Unknown,Unknown,,https://crests.football-data.org/67.png
351,Nottingham Forest FC,Nottingham,NOT,2072,England,ENG,1865,The City Ground,Red / White,http://www.nottinghamforest.co.uk,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",,Unknown,Unknown,,https://crests.football-data.org/351.png
516,Olympique de Marseille,Marseille,MAR,2081,France,FRA,1898,Orange Vélodrome,White / Blue,http://www.om.net,"La Commanderie, 33, traverse de La Martine Marseille 13012",,Unknown,Unknown,,https://crests.football-data.org/516.png
654,PAE Olympiakos SFP,Olympiakos,OLY,2093,Greece,GRC,1925,Stadio Georgios Karaiskáki,Red / White,http://www.olympiacos.org,Plateia Alexandras Piraeus 18534,,Unknown,Unknown,,https://crests.football-data.org/654.png
674,PSV,PSV,PSV,2163,Netherlands,NLD,1913,Philips Stadion,Red / White,http://www.psv.nl,Fredriklaan 10a Eindhoven 5616 NH,,Unknown,Unknown,,https://crests.football-data.org/674.png
11034,Paphos FC,Paphos FC,AEP,2061,Cyprus,CYP,0,Alphamega Stadium,Unknown,,null null null,,Unknown,Unknown,,https://crests.football-data.org/11034.png
524,Paris Saint-Germain FC,PSG,PSG,2081,France,FRA,1904,Parc des Princes,Red / Blue / White,http://www.psg.fr,"24, rue de Commandant Guibaud Paris 7501",,Unknown,Unknown,,https://crests.football-data.org/524.png
112,Parma Calcio 1913,Parma,PAR,2114,Italy,ITA,1913,Stadio Ennio Tardini,White / Black,http://www.parmacalcio1913.com,"Strada Carlo Pisacane, 4 Parma 43121",,Unknown,Unknown,,https://crests.football-data.org/112.png
611,Qarabağ Ağdam FK,Qarabağ Ağdam,QAR,2017,Azerbaijan,AZE,1951,Tofiq Bəhramov adına Respublika stadionu,Black / White,http://www.qarabagh.com,"Bakı şəhəri.Suraxanı, qəsəbəsi Ağdam null",,Unknown,Unknown,,https://crests.football-data.org/611.png
721,RB Leipzig,RB Leipzig,RBL,2088,Germany,DEU,2009,Red Bull Arena,White / Red,http://www.dierotenbullen.com,Neumarkt 29-33 Leipzig 04109,,Unknown,Unknown,,https://crests.football-data.org/721.png
558,RC Celta de Vigo,Celta,CEL,2224,Spain,ESP,1923,Estadio de Balaídos,Sky Blue / White,http://www.celtavigo.net,"Calle del Conde de Gondomar, 1 Vigo 36203",,Unknown,Unknown,,https://crests.football-data.org/558.png
560,RC Deportivo La Coruña,Deportivo,DEP,2224,Spain,ESP,1906,Estadio Abanca-Riazor,Blue / White,http://www.rcdeportivo.es,"Plaza de Pontevedra, 19 A Coruña 15003",,Unknown,Unknown,,https://crests.football-data.org/560.png
