id,name,shortName,tla,founded,venue,clubColors,website,address,area.id,area.name,coach.name,crest
558,RC Celta de Vigo,Celta,CEL,1923.0,Estadio de Balaídos,Sky Blue / White,http://www.celtavigo.net,"Calle del Conde de Gondomar, 1 Vigo 36203",2224,Spain,Unknown,https://crests.football-data.org/558.png
559,Sevilla FC,Sevilla FC,SEV,1905.0,Estadio Ramón Sánchez Pizjuán,White / Red,http://www.sevillafc.es,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",2224,Spain,Unknown,https://crests.football-data.org/559.png
560,RC Deportivo La Coruña,Deportivo,DEP,1906.0,Estadio Abanca-Riazor,Blue / White,http://www.rcdeportivo.es,"Plaza de Pontevedra, 19 A Coruña 15003",2224,Spain,Unknown,https://crests.football-data.org/560.png
5335,Real Racing Club de Santander,Santander,SAN,1913.0,Campos de Sport de El Sardinero,White / Black / Green,http://www.realracingclub.com,"Calle Real Racing Club, s/n Santander 39005",2224,Spain,Unknown,https://crests.football-data.org/5335.png
3,Bayer 04 Leverkusen,Leverkusen,B04,1904.0,BayArena,Red / White / Black,http://www.bayer04.de,Bismarckstr. 122-124 Leverkusen 51373,2088,Germany,Unknown,https://crests.football-data.org/3.png
4,Borussia Dortmund,Dortmund,BVB,1909.0,Signal Iduna Park,Black / Yellow,http://www.bvb.de,Rheinlanddamm 207-209 Dortmund 44137,2088,Germany,Unknown,https://crests.football-data.org/4.png
5,FC Bayern München,Bayern,FCB,1900.0,Allianz Arena,Red / White / Blue,http://www.fcbayern.de,Säbenerstr. 51 München 81547,2088,Germany,Unknown,https://crests.football-data.org/5.png
19,Eintracht Frankfurt,Frankfurt,SGE,1899.0,Deutsche Bank Park,Red / Black,http://www.eintracht.de,Mörfelder Landstraße 362 Frankfurt am Main 60528,2088,Germany,Unknown,https://crests.football-data.org/19.png
102,Atalanta BC,Atalanta,ATA,1904.0,Stadio Atleti Azzurri d'Italia,Black / Blue,http://www.atalanta.it,"Corso Europa, 46, Zingonia Ciserano 24040",2114,Italy,Unknown,https://crests.football-data.org/102.png
108,FC Internazionale Milano,Inter,INT,1908.0,Stadio Giuseppe Meazza,Blue / Black,http://www.inter.it,Corso Vittorio Emanuele II 9 Milano 20122,2114,Italy,Unknown,https://crests.football-data.org/108.png
109,Juventus FC,Juventus,JUV,1897.0,Allianz Stadium,White / Black,http://www.juventus.com,"Corso Galileo Ferraris, 32 Torino 10128",2114,Italy,Unknown,https://crests.football-data.org/109.png
113,SSC Napoli,Napoli,NAP,1904.0,Stadio San Paolo,Sky Blue / White,http://www.sscnapoli.it,"Centro Tecnico di Castel Volturno, Via S.S. Domitana, Km 35 Castel Volturno 81030",2114,Italy,Unknown,https://crests.football-data.org/113.png
498,Sporting Clube de Portugal,Sporting CP,SPO,1906.0,Estádio José Alvalade,Green / White,http://www.sporting.pt,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",2187,Portugal,Unknown,https://crests.football-data.org/498.png
516,Olympique de Marseille,Marseille,MAR,1898.0,Orange Vélodrome,White / Blue,http://www.om.net,"La Commanderie, 33, traverse de La Martine Marseille 13012",2081,France,Unknown,https://crests.football-data.org/516.png
524,Paris Saint-Germain FC,PSG,PSG,1904.0,Parc des Princes,Red / Blue / White,http://www.psg.fr,"24, rue de Commandant Guibaud Paris 7501",2081,France,Unknown,https://crests.football-data.org/524.png
548,AS Monaco FC,Monaco,ASM,1919.0,Stade Louis II.,Red / White,http://www.asmonaco.com,Avenue des Castellans Monaco 98000,2152,Monaco,Unknown,https://crests.football-data.org/548.png
610,Galatasaray SK,Galatasaray,GAL,1905.0,Türk Telekom Arena,Red / Yellow,http://www.galatasaray.org,"Türk Telekom Arena Stadyumu, Huzur Mahallesi, Şişli İstanbul 34415",2247,Turkey,Unknown,https://crests.football-data.org/610.png
611,Qarabağ Ağdam FK,Qarabağ Ağdam,QAR,1951.0,Tofiq Bəhramov adına Respublika stadionu,Black / White,http://www.qarabagh.com,"Bakı şəhəri.Suraxanı, qəsəbəsi Ağdam null",2017,Azerbaijan,Unknown,https://crests.football-data.org/611.png
654,PAE Olympiakos SFP,Olympiakos,OLY,1925.0,Stadio Georgios Karaiskáki,Red / White,http://www.olympiacos.org,Plateia Alexandras Piraeus 18534,2093,Greece,Unknown,https://crests.football-data.org/654.png
674,PSV,PSV,PSV,1913.0,Philips Stadion,Red / White,http://www.psv.nl,Fredriklaan 10a Eindhoven 5616 NH,2163,Netherlands,Unknown,https://crests.football-data.org/674.png
678,AFC Ajax,Ajax,AJA,1900.0,Johan Cruyff ArenA,Red / White,http://www.ajax.nl,ArenA Boulevard 29 Amsterdam 1101 AX,2163,Netherlands,Unknown,https://crests.football-data.org/678.png
851,Club Brugge KV,Club Brugge,BRU,1894.0,Jan Breydelstadion,Blue / Black,http://www.clubbrugge.be,Olympialaan 74 Brugge 8200,2023,Belgium,Unknown,https://crests.football-data.org/851.png
930,SK Slavia Praha,Slavia Praha,SLP,1892.0,Sinobo Stadium,Red / White,http://www.slavia.cz,Vladivostocká 1460/2 Praha 10005,2062,Czech Republic,Unknown,https://crests.football-data.org/930.png
1876,FC København,København,KOB,1992.0,Telia Parken,White / Blue,http://www.fck.dk,Per Henrik Lings Allé 2 København 2100,2065,Denmark,Unknown,https://crests.football-data.org/1876.png
1903,Sport Lisboa e Benfica,SL Benfica,BEN,1904.0,Estádio do Sport Lisboa e Benfica,,https://www.slbenfica.pt,Avenida General Norton de Matos 1500 Lissabon null,2187,Portugal,Unknown,https://crests.football-data.org/1903.png
3929,Royale Union Saint-Gilloise,Union SG,USG,1897.0,Stade Joseph Mariën,Blue / Yellow,http://www.rusg.brussels,"Chaussée de Bruxelles, 223 Forest 1190",2023,Belgium,Unknown,https://crests.football-data.org/3929.png
5721,FK Bodø/Glimt,Bodø/Glimt,FK,1916.0,Aspmyra Stadion,Yellow / Black,http://www.glimt.no,Postboks 179 Bodø 8001,2173,Norway,Unknown,https://crests.football-data.org/5721.png
10601,FK Kairat,FK Kairat,KAI,,Unknown,,,null null null,2119,Kazakhstan,Unknown,https://crests.football-data.org/10601.png
11034,Paphos FC,Paphos FC,AEP,,Alphamega Stadium,,,null null null,2061,Cyprus,Unknown,https://crests.football-data.org/11034.png
1,1. FC Köln,1. FC Köln,KOE,1948.0,RheinEnergieSTADION,Red / White,http://www.fc-koeln.de,Franz-Kremer-Allee 1 Köln 50937,2088,Germany,Unknown,https://crests.football-data.org/1.png
2,TSG 1899 Hoffenheim,Hoffenheim,TSG,1921.0,PreZero Arena,Blue / White,http://www.achtzehn99.de,Horrenberger Straße 58 Zuzenhausen 74939,2088,Germany,Unknown,https://crests.football-data.org/2.png
6,FC Schalke 04,Schalke,S04,1904.0,Veltins-Arena,Blue / White,http://www.schalke04.de,Ernst-Kuzorra-Weg 1 Gelsenkirchen 45891,2088,Germany,Unknown,https://crests.football-data.org/6.png
7,Hamburger SV,HSV,HSV,1887.0,Volksparkstadion,White / Red / Blue,http://www.hsv.de,Sylvesterallee 7 Hamburg 22525,2088,Germany,Unknown,https://crests.football-data.org/7.png
10,VfB Stuttgart,Stuttgart,VFB,1893.0,Mercedes-Benz Arena,White / Red,http://www.vfb.de,Mercedesstraße 109 Stuttgart 70372,2088,Germany,Unknown,https://crests.football-data.org/10.png
12,SV Werder Bremen,Bremen,SVW,1899.0,Weserstadion,Green / White,http://www.werder.de,Franz-Böhmert-Str. 1c Bremen 28205,2088,Germany,Unknown,https://crests.football-data.org/12.png
15,1. FSV Mainz 05,Mainz,M05,1905.0,Opel Arena,Red / White,http://www.mainz05.de,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,2088,Germany,Unknown,https://crests.football-data.org/15.png
16,FC Augsburg,Augsburg,FCA,1907.0,WWK Arena,Red / Green / White,http://www.fcaugsburg.de,Donauwörther Straße 170 Augsburg 86154,2088,Germany,Unknown,https://crests.football-data.org/16.png
17,SC Freiburg,Freiburg,SCF,1912.0,Schwarzwald-Stadion,Red / White,http://www.scfreiburg.com,Schwarzwaldstraße 193 Freiburg 79117,2088,Germany,Unknown,https://crests.football-data.org/17.png
18,Borussia Mönchengladbach,M'gladbach,BMG,1900.0,Stadion im Borussia-Park,Black / White / Green,http://www.borussia.de,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,2088,Germany,Unknown,https://crests.football-data.org/18.png
28,1. FC Union Berlin,Union Berlin,UNB,1906.0,Stadion An der Alten Försterei,Red / White,http://www.fc-union-berlin.de,An der Wuhlheide 263 Berlin 12555,2088,Germany,Unknown,https://crests.football-data.org/28.png
29,SC Paderborn 07,SC Paderborn,SCP,1985.0,Benteler-Arena,Black / Blue,http://www.scpaderborn07.de,Paderborner Str. 89 Paderborn 33104,2088,Germany,Unknown,https://crests.football-data.org/29.png
719,SV 07 Elversberg,Elversberg,ELV,1907.0,Ursapharm-Arena an der Kaiserlinde,Black / White,http://www.sv07elversberg.de,St. Ingberter Straße 8 Spiesen-Elversberg 66583,2088,Germany,Unknown,https://crests.football-data.org/719.png
721,RB Leipzig,RB Leipzig,RBL,2009.0,Red Bull Arena,White / Red,http://www.dierotenbullen.com,Neumarkt 29-33 Leipzig 04109,2088,Germany,Unknown,https://crests.football-data.org/721.png
98,AC Milan,Milan,MIL,1899.0,Stadio Giuseppe Meazza,Red / Black,http://www.acmilan.com,Via Filippo Turati 3 Milano 20121,2114,Italy,Unknown,https://crests.football-data.org/98.png
99,ACF Fiorentina,Fiorentina,FIO,1926.0,Stadio Artemio Franchi,Purple / White,http://www.acffiorentina.it,Viale Manfredo Fanti 4 Firenze 50137,2114,Italy,Unknown,https://crests.football-data.org/99.png
100,AS Roma,Roma,ROM,1927.0,Stadio Olimpico,Maroon / Orange / White,http://www.asroma.it,"Via di Trigoria km. 3,600 Roma 00128",2114,Italy,Unknown,https://crests.football-data.org/100.png
103,Bologna FC 1909,Bologna,BOL,1909.0,Stadio Renato Dall'Ara,Red / Blue / White,http://www.bolognafc.it,Via Casteldebole 10 Bologna 40132,2114,Italy,Unknown,https://crests.football-data.org/103.png
104,Cagliari Calcio,Cagliari,CAG,1920.0,Sardegna Arena,Red / Navy Blue / White,http://www.cagliaricalcio.net,Viale la Plaia 15 Cagliari 09123,2114,Italy,Unknown,https://crests.football-data.org/104.png
